pcp	ETP	Q(m/day)
0.46	6.727384816	1.945844814
17.15	6.919697059	1.816121826
9.2	6.652980713	1.699371137
0.36	6.177892222	1.530731253
0	6.736194045	1.336146772
0	7.112483646	1.207721014
0	7.138436989	1.102645394
0	6.987257069	1.000164234
0	6.870500904	0.897683074
0	6.946260273	0.793904684
0	6.514085597	0.690126294
0	6.384944957	0.596725743
0.03	6.331362579	0.508514111
1.07	6.248565201	0.434572008
20.22	6.345129824	0.403438491
0.26	5.584570308	0.435869238
3.43	4.647428093	0.500730732
0.62	5.411801073	0.546133778
1.39	5.26501509	0.543539318
1.85	5.609454765	0.504622421
0.71	4.693060372	0.450138767
0	4.808498402	0.386574503
0	5.14957706	0.329496388
0	4.719108259	0.285390573
0	5.537063616	0.254257056
0	5.583988593	0.229609688
0	5.289899547	0.198476171
2.35	5.275550587	0.250365366
86.38	4.750520847	0.684937374
0	5.332881792	0.831524351
0	5.347812467	0.856171718
0.11	5.645197895	0.848388339
8.61	5.796508325	0.841902189
10.05	4.858719762	0.865252327
0	4.963686929	0.826335431
0	5.067490667	0.793904684
0	4.866540591	0.753690558
4.8	5.828502628	0.714773661
0.34	4.693771356	0.678451225
0.11	3.329262819	0.642128788
0	2.653009442	0.586347904
0	3.068124971	0.5253781
0	2.417588865	0.460516606
0	2.34783088	0.399546802
0	3.306422687	0.341171457
0	3.219401873	0.294471182
0.3	3.657433556	0.254257056
32.44	3.813808545	0.276309964
38.11	3.559509902	0.5253781
1.52	3.825922811	0.683640144
3	3.696653493	0.778337926
0.23	3.26200371	0.908060913
0.11	3.43276439	0.934005511
2.36	3.850454201	0.83022712
5.66	3.267657034	0.638237099
0	2.341369938	0.570781145
0	2.518541085	0.504622421
1.64	2.773647345	0.465705526
0	2.1202341	0.447544307
0	2.62292568	0.426788629
0	2.891811919	0.399546802
0.53	3.267657034	0.365818825
0	2.409462211	0.332090848
0	1.927062027	0.300957331
0	2.367264183	0.284093343
6.37	3.178011463	0.281498883
7.09	4.033228195	0.287985032
9.57	3.895327463	0.30874071
69.14	2.74866167	0.72904319
0.34	2.555085788	1.209018244
0	2.771123539	1.673426539
0	2.589583167	1.971789411
0	2.764501646	2.114484697
0	2.969940445	2.166373892
0.14	3.465013547	2.127456996
0.03	3.756853077	2.075567801
1.15	3.83006656	1.997734008
4.92	3.876993757	1.919900216
0.05	3.104900239	1.816121826
1.28	1.875178346	1.686398838
0.13	1.019771413	1.660454241
0	1.657125659	1.543703552
0	2.438613436	1.426952863
0	3.095064934	1.323174473
0	1.297718023	1.207721014
0	0.923932317	1.074106337
0	1.533941768	0.970327947
0	2.436055375	0.878224626
0	2.815662876	0.797796373
0.08	2.970072758	0.736826569
23.37	2.688685997	0.722557041
0.11	1.510213542	0.717368121
0	2.039952788	0.708287512
0	2.180954901	0.692720754
0	2.210813652	0.674559535
0	2.342509713	0.644723248
0	1.48798487	0.610995271
0.23	2.129793671	0.577267295
0.46	2.599771309	0.556511617
1.25	1.999861791	0.535755939
0	0.35846842	0.515000261
0	1.546418276	0.491650123
0	1.956350111	0.463111065
0	0.589814623	0.431977549
0.23	0.135224766	0.408627411
19.2	0.772480341	0.41900525
0.44	0.881215423	0.441058158
0	0.465406016	0.468299985
0	0.224713681	0.481272284
0	0.522337792	0.486461203
0.44	1.156251218	0.498136272
29.35	2.558743616	0.578564525
0	0.945061989	0.684937374
0	0.660172617	0.767960086
30.77	1.056678233	0.878224626
1.35	0.27887954	1.076700797
0	0.955030812	1.362091369
1.7	1.582490433	1.621537345
1.74	1.204885245	1.958817112
0	0.701488491	2.127456996
0	0.496868313	2.270152283
0	0	2.335013776
0	0.109640041	2.309069179
0	1.18177832	2.231235386
7.02	1.716291631	2.153401594
0	1.83188388	2.062595502
0	0.141563324	1.971789411
0	0.40386438	1.855038722
0	1.021355178	1.738288033
0	1.277721039	1.608565046
0	2.151750568	1.439925162
5.11	1.473640105	1.297229876
0	2.255213699	1.176587497
0	2.971970205	1.061134038
0	3.671065767	0.982003016
0	4.972419356	0.915844292
0	7.254352203	0.857468948
0.44	5.733427441	0.808174213
0.11	0.591116229	0.761473937
0	0	0.712179202
2.58	0	0.669370616
6.97	0	0.639534329
0	0	0.618778651
0	0	0.595428513
0	2.332306695	0.568186686
0	2.300259027	0.546133778
0	2.299366058	0.52148641
0	1.423065745	0.494244583
0	0.11069887	0.468299985
1.97	1.538357974	0.443652617
0.11	4.249610505	0.422896939
0	0	0.402141261
0	0	0.382682813
0	0	0.363224365
0	1.334959464	0.345063147
0	0.949395264	0.328199159
0	2.597518508	0.31392963
15.04	0	0.325604699
28.26	0	0.461813836
0	0	0.633048179
0	0	0.751096098
0	1.009819504	0.819849282
0	1.485077486	0.878224626
0	0	0.900277534
0	0	0.909358143
6.44	2.215559371	0.923627671
0.8	1.281674076	0.950869499
0	1.43406635	0.987191936
0.11	3.086307479	1.007947613
11.2	6.094635451	1.010542073
0	2.133117649	1.006650384
0.34	0.619301395	0.989786395
0.31	2.044884566	0.969030717
0.14	3.187258844	0.948275039
17.91	3.156258031	0.953463959
14.94	0.758975387	1.030000521
4.6	2.568605259	1.179181957
21.59	2.744844313	1.530731253
8.15	1.490276616	1.906927917
4.03	0.714461399	2.309069179
9.93	0	2.827961129
0	0.984838453	3.178213195
0	2.922446039	3.385769976
0	4.435013176	3.476576067
0	4.765915626	3.437659171
0	2.612097242	3.320908482
1.6	3.516117285	3.126324001
0.16	2.903141504	2.905794922
2.48	1.628928603	2.737155038
31.28	0.56309113	2.698238141
21.26	0	2.71121044
0.11	2.038184756	2.789044233
0	2.407754637	2.81498883
0	3.531060247	2.776071934
0	5.299944742	2.724182739
0	5.492388812	2.685265843
0	5.983566816	2.633376648
0	6.414832987	2.581487453
0.11	5.085136889	2.464736764
0	4.296462799	2.335013776
0	1.89396528	2.140429295
6.06	1.738326551	2.023678606
0	1.147790631	1.88098332
0	2.416832188	1.725315735
0	3.47543962	1.56964815
0	2.834234463	1.401008266
0	3.85669674	1.241448991
2.77	5.589601125	1.128589992
5.02	3.860822899	1.057242349
0.11	2.796768937	1.017028223
0	3.733572146	0.972922407
0	3.678446658	0.922330442
0.19	3.636937495	0.878224626
0	3.343732615	0.827632661
0	0.600909477	0.774446236
0	1.032918356	0.712179202
0	2.527000641	0.649912168
0	3.906788314	0.582456214
0	4.567138849	0.5253781
0	5.782540335	0.483866744
0	4.204779539	0.442355388
0	3.609374751	0.404735721
8.65	2.834234463	0.377493894
0.8	4.303771644	0.356738216
0	3.479145097	0.338576998
0	3.065722547	0.31522686
0	4.0466124	0.295768412
0	2.927304125	0.275012734
0	2.412503344	0.254257056
0.13	2.814350834	0.236095837
0	5.263344095	0.215340159
0.6	5.916659757	0.195881711
0	6.082954782	0.179017723
8	6.405223737	0.160856505
25.5	7.203131187	0.147884206
6.02	6.726335185	0.150478666
16.47	5.145664321	0.186801102
0	2.873769474	0.21404293
0	3.950250028	0.224420768
0	4.475854198	0.21404293
0	6.029420131	0.197178941
0	6.746784457	0.179017723
0	6.90825654	0.172531573
0	7.433957169	0.20885401
0	7.235348436	0.268526584
0	7.218757517	0.31392963
0	7.723044286	0.342468687
0	8.20958263	0.356738216
0	7.545849413	0.351549296
15.19	7.064037552	0.339874227
0	4.759925456	0.334685308
0	4.624883092	0.31652409
0	5.257556565	0.282796113
12.6	6.218226605	0.267229354
4.4	7.335551905	0.287985032
37.31	7.406504805	0.351549296
7.55	4.77594434	0.487758433
0	4.196709006	0.592834053
0	5.451276964	0.651209398
0	7.432380669	0.644723248
0	7.782756328	0.586347904
0	7.995980763	0.52278364
0	6.945036655	0.472191675
0	6.848207892	0.429383089
4.74	7.279959943	0.396952342
0.36	7.717289477	0.368413285
0	7.199040721	0.343765917
0	7.223819375	0.319118549
0	7.290200568	0.295768412
0	7.122236036	0.275012734
0	7.325402715	0.252959826
0	7.295778051	0.227015228
0	7.671389534	0.197178941
0	8.65110644	0.169937114
0	8.885635032	0.153073125
0	8.98145802	0.133614677
4.68	8.748209507	0.115453459
0	8.772988161	0.097292241
0	9.337502596	0.081725482
0	9.453989702	0.067455954
0	9.362464119	0.058375344
3.31	9.159663177	0.049294735
15.66	8.727728257	0.045403046
4.35	8.635562635	0.068753183
0.11	7.605063616	0.072644873
0.03	7.744538851	0.062267034
0	7.889127061	0.050591965
1.51	8.382319539	0.047997505
6.06	7.348911982	0.042808586
0	7.390989247	0.040214126
6.17	7.460475407	0.038916896
1.13	7.879906943	0.067455954
0	7.902789599	0.073942103
0.99	7.688799049	0.064861494
2.77	8.331525072	0.059672574
0	8.635034583	0.050591965
0	7.009611651	0.042808586
0	7.28864594	0.036322437
0	7.441867533	0.031133517
2.29	7.730289578	0.025944598
3.62	8.201186136	0.023350138
5.49	8.489859639	0.022052908
6.06	9.076007668	0.020755678
5.18	8.811222651	0.018161218
0.11	7.209269109	0.016863988
0.28	7.771780108	0.015566759
0	8.415428143	0.015566759
7.66	8.498995938	0.012972299
2.29	8.289280169	0.011415623
7.78	8.592119126	0.010637285
0.38	7.390989247	0.010507562
6.77	7.544210839	0.012842576
11.82	7.832632885	0.012972299
0.03	7.917122691	0.012972299
4.96	7.52145697	0.014269529
0.6	7.590798251	0.015566759
1.18	7.354486318	0.014269529
22.84	7.752883495	0.019458448
0	8.173501399	0.073942103
7.56	8.339762879	0.10767008
0	8.260887172	0.084319942
0	8.422499635	0.053186425
11.94	8.186187702	0.038916896
0.05	8.134496929	0.031133517
0	8.400278906	0.024647368
18.37	7.950033363	0.022052908
1.08	7.968393043	0.023350138
3.82	8.318251323	0.020755678
0	8.392871996	0.018161218
0	7.442738857	0.015566759
0.03	7.166949673	0.012453407
6.41	7.118410776	0.011156177
2.3	7.149377962	0.010767008
6.63	7.34652783	0.010507562
0.03	7.51278931	0.010118393
0	7.481900921	0.010377839
0.46	7.522166142	0.009729224
0.1	7.617667997	0.009729224
3.14	7.761629952	0.040214126
0.11	7.197207686	0.089508861
0	7.766436563	0.062267034
0.08	7.945935924	0.047997505
8.51	7.766436563	0.037619666
0.33	7.569995867	0.033727977
9.14	7.837038594	0.031133517
16.23	7.174146239	0.041511356
6.09	7.358717116	0.038916896
9.89	7.311104652	0.0998867
1.03	7.012292894	0.147884206
0	7.395950644	0.147884206
19.99	7.044590983	0.158262045
0	4.867191721	0.180314953
0	5.008504933	0.158262045
0	5.693950221	0.124534068
0	5.835263433	0.094697781
0.03	6.206582587	0.068753183
0.11	6.60882081	0.057078115
88.98	6.540523054	0.442355388
5.31	6.556780968	0.908060913
56.43	6.125293014	1.673426539
27.37	6.012648892	2.685265843
0	5.867488942	3.385769976
0.13	6.263049808	3.930606523
0	6.806601243	4.436526175
0	7.270096966	4.670027551
0	7.28686294	4.618138359
1.19	7.25833901	4.345720083
1.83	6.556853548	3.995468017
0.11	6.504668546	3.645215951
0	6.532611836	3.372797677
0.68	6.730319689	3.217130092
13.01	6.536385995	3.217130092
3.16	6.847391189	3.126324001
23.81	6.988123762	3.256046988
36.17	6.678279847	3.437659171
0.11	7.290564519	3.450631469
13.87	5.613820672	3.658188249
10.22	5.295790885	3.697105146
0.14	5.048834637	3.528465262
0.11	4.864260716	3.372797677
0	5.318319424	3.152268598
0.44	5.467785419	2.91876722
4.76	5.019501793	2.750127337
7.18	5.33101317	2.594459751
16.83	5.381845331	2.620404349
0.03	5.423242952	2.724182739
27.37	5.267487263	3.372797677
30.35	4.851509791	4.151135602
0	4.914463907	4.410581577
0	4.590773396	4.203024797
4.3	4.482419127	3.865745029
6.99	4.975073683	3.632243652
0.28	5.508668428	3.385769976
12.63	5.213395897	3.191185494
0	4.145920512	2.931739519
0	3.593742581	2.633376648
0	3.74949827	2.347986075
0	3.932928611	2.114484697
0	4.400310034	1.945844814
0	4.597177448	1.790177229
0	4.692209002	1.634509644
0	4.845162918	1.426952863
12.15	4.762138961	1.310202175
8.11	5.289501191	1.209018244
0.23	4.730919208	1.120806613
0	4.902284773	1.062431268
0.14	4.942158685	1.057242349
0.34	5.076584757	1.076700797
0.56	5.098662453	1.076700797
24.93	4.595602275	1.063728498
0	4.028960641	1.04427005
0	4.191920549	0.994110495
0	3.225632277	0.953031549
0	3.225632277	0.911087783
0	4.006882945	0.864387507
0	4.329805269	0.823308561
0	4.256481956	0.773581416
0	3.49488793	0.724286681
0	3.849860381	0.676721585
0.57	4.47109099	0.6252648
0.85	4.058013274	0.588942363
12.11	2.693461822	0.561700536
0	2.985429256	0.541377268
0	3.321033285	0.52235123
6.31	4.243684963	0.508514111
1.06	4.839379231	0.486461203
0	4.374594745	0.463111065
0	3.57068994	0.438896108
0	2.98197061	0.410357051
0.46	2.802870349	0.383547633
0	2.748627239	0.363656775
0	2.805694911	0.347657607
0	2.834747544	0.322145419
0.28	2.914930506	0.296633232
0	3.129654828	0.275012734
0.57	3.347319	0.260310795
0	4.64373511	0.242581987
0	4.02404493	0.227880048
0	3.889721319	0.21361052
0	3.798659375	0.199773401
0	3.841824475	0.189395562
4	3.197824362	0.183774232
0	1.840489591	0.177288083
0	1.802973615	0.170801934
0	2.352966514	0.165613014
0	2.124973672	0.157397225
0	0.974145759	0.148316616
0	1.247573008	0.140533237
2.35	1.706069415	0.137506367
30.82	2.361222926	0.149613846
0	0.968738051	0.164748194
0	0.604345425	0.172531573
0	0.979988016	0.174693623
0	0.800229999	0.170801934
0	1.47353796	0.166910244
0	1.990988043	0.161288915
0.23	2.857235308	0.154802765
0.15	3.270055894	0.145289746
0.68	3.171123803	0.136641547
23.12	2.918699707	0.143127696
12.55	3.143843846	0.173828803
1.51	3.364401089	0.20669196
0	1.452100259	0.219664259
0	0.525933655	0.223988359
18.97	1.658655401	0.261608025
0	1.596273624	0.319118549
0	1.12136096	0.347657607
0	1.500096792	0.358900266
0	1.462747268	0.358035446
0	1.204199231	0.352846526
0	1.022488573	0.351981706
0	1.209616338	0.369278105
0.23	1.25418867	0.399114392
0.93	2.181036577	0.435869238
0.03	3.233951005	0.466570345
0.26	2.846057672	0.486893613
10.49	3.020640559	0.501595552
1.71	2.667198122	0.510676161
0.57	1.087731443	0.513270621
0	0.837404102	0.507649292
0	1.093481178	0.493812173
0	0.018898324	0.474786134
0	0	0.455327686
0.29	0	0.435436828
0.23	1.072287937	0.41295151
0	0.982668089	0.393925472
1.83	0.061142251	0.372304974
0	0	0.353278936
0	0.332995462	0.339441817
0.23	1.339009153	0.329063978
2.13	1.816569853	0.321280599
1.32	0.005450595	0.31652409
23.42	0	0.335117718
3.16	0	0.389601373
0.13	0	0.442787798
0	0	0.484731564
0	0.956342852	0.505054831
0	1.483797954	0.514567851
0	2.10493905	0.514567851
0	2.745773842	0.503757602
0	2.688918816	0.493379763
0	2.72229938	0.490785303
0	3.692797264	0.491217713
0	3.796901398	0.490785303
0	3.819355231	0.487326023
0	3.729659973	0.484731564
0	3.435838962	0.483434334
0	1.894809598	0.479110234
0	2.492117575	0.473488905
0	2.522316179	0.461813836
0.56	2.915978698	0.450138767
2.34	4.340296161	0.455760096
22.1	2.101817127	0.511973391
0.68	0.66783371	0.585050674
0.68	0	0.62483239
0	0	0.639966739
0	0	0.62612962
0	0	0.596293333
0.11	0.327423997	0.571213555
0	0.50129111	0.547431007
1.76	1.178088056	0.532729069
0	0	0.51975677
0	0	0.504190012
0.03	0.714482448	0.495974223
0	2.521775846	0.489920483
0	0	0.482137104
0	0	0.474786134
13.44	0.344354428	0.473488905
0	0.890931151	0.476083364
0	1.274252108	0.478677824
0	1.088599812	0.477813004
0.05	0.864282252	0.472624085
13.22	0.793543513	0.487758433
0.05	1.531233453	0.513703031
0	2.203595824	0.527972559
0	2.848705578	0.530567019
0	3.456133918	0.52581051
0.33	4.111377317	0.51586508
4.94	4.816403472	0.513703031
0	1.876761203	0.507216882
0	0.466020198	0.500730732
0	1.974162249	0.486893613
0	2.848902348	0.477813004
0.7	4.269580228	0.470462035
0	4.673548605	0.464408295
0.03	5.02379883	0.454462866
0	1.246605953	0.442787798
0	0.306243129	0.425058989
0	1.04393307	0.404303311
0.3	3.285731281	0.389601373
7	4.439294171	0.379223534
0.05	5.543271075	0.371440154
20.22	4.603105021	0.368845695
5.51	1.401365392	0.389601373
0	0.52554306	0.409059821
0	1.657461273	0.41770802
19.82	2.066545665	0.447111897
1.37	1.811329359	0.504190012
0	0.952907895	0.540080038
0	0.39533777	0.553484747
0	0.645806847	0.561268126
0	1.619799839	0.578564525
0.98	3.018965289	0.617481421
0	2.072567163	0.658560367
1.57	4.504280565	0.695315213
0.41	1.645183269	0.72601632
0	0.150829954	0.73552934
0	2.26015456	0.73250247
1.76	2.666577894	0.715638481
0	4.711867028	0.681045685
0	5.588172272	0.62785926
0.96	1.01050136	0.579861755
4.47	2.389186998	0.541809678
25.43	1.20347312	0.564727406
0.23	0.569560406	0.613589731
0.46	2.564755724	0.636939869
0.94	2.485240206	0.641696378
0	3.798928878	0.6252648
0	4.6710997	0.604076712
13.17	5.107617783	0.594563693
9.37	5.40741148	0.62310275
0	5.321261656	0.651209398
0.57	5.726627347	0.667640976
2.93	5.3969312	0.684072554
21.49	5.844218011	0.784391665
1.47	4.824554075	0.962976978
0	5.823545899	1.082754536
0	6.421306455	1.192154256
1.79	5.998225637	1.263069489
13.97	6.520285698	1.307607714
6.41	4.213992476	1.340470872
0	4.139858246	1.366415469
0	4.923090175	1.375063668
0	5.989904448	1.349119071
0	6.198406972	1.304580845
17.05	6.734083524	1.25701575
0.25	6.221573919	1.212909934
0	3.861854881	1.171398578
0	4.588351429	1.126427942
0	5.054054345	1.076268387
2.65	5.291586472	1.014433763
2.53	2.905958276	0.952599139
6.5	2.444132278	0.887737645
0	3.294406516	0.808606623
0	3.136776717	0.748069228
0	3.731174387	0.693585574
0	4.660499922	0.634345409
0	6.252021907	0.583321034
0	7.229288838	0.529269789
0	6.982962727	0.480407464
0.23	6.735123673	0.430680319
0	4.770377442	0.381817993
0	2.44394316	0.336847358
0.03	3.841713821	0.291444312
1.42	5.347849058	0.255121876
0.03	4.733310327	0.227447638
0	4.581543184	0.201070631
0	6.343649546	0.178585313
4.91	5.776516143	0.161288915
0.96	5.031087952	0.147019386
0	5.06012947	0.134911907
0	4.645914958	0.122804428
0	5.303867642	0.114156229
43.78	4.231524969	0.197178941
2.29	2.921147141	0.505919651
0	5.352387156	0.655101087
0.03	5.845391041	0.719962581
0	6.166953461	0.72904319
0	6.537035395	0.683640144
0	6.907117329	0.591536823
0	7.629470236	0.487758433
0	6.01033984	0.402141261
3.54	6.853859924	0.376629074
4.29	7.258598653	0.340739047
5.68	6.688296953	0.31306481
0.23	6.05982448	0.345063147
0	6.288208376	0.4168432
0	6.493604727	0.455327686
31.2	5.78704479	0.443220208
0	4.612223289	0.478677824
0	5.640170168	0.534458709
0	6.859299725	0.572943195
11.11	5.96155711	0.594563693
0.37	5.210689119	0.592834053
0	5.947431176	0.575970065
0	6.980642379	0.538782808
1.34	7.239120657	0.486893613
9.83	7.394944629	0.444949847
8.15	5.605601111	0.422896939
8.65	6.234252222	0.444517437
16.52	5.63014867	0.511540981
6.86	6.791383154	0.62483239
19.8	7.093180106	0.796066734
4.83	7.390560102	1.017893043
0.03	8.06091798	1.258745389
0	8.071026012	1.46586976
1.14	8.047072525	1.591268648
1.4	8.088354067	1.630185544
1.93	7.706117568	1.56964815
0.48	7.366606615	1.474517959
0.28	8.070261539	1.36036173
0.14	8.239974545	1.221990543
0.1	8.523509086	1.079295256
0.03	8.778333418	0.952599139
0	8.258916487	0.819416872
0	7.74034897	0.684504964
0	7.206237168	0.551755107
0	7.206407051	0.448841537
0	6.729800607	0.369710515
0	6.396065673	0.305713841
0	6.890849586	0.253824646
0	7.881691533	0.20928642
0	7.951938107	0.171234344
10.01	7.659060007	0.146586976
4.88	7.810510603	0.143992516
0.39	8.513401054	0.145289746
8.6	8.45258298	0.136209137
26.28	7.934610053	0.149613846
4.27	8.155882515	0.183774232
0	8.481160107	0.218799439
4.43	8.719363529	0.221826309
0	8.434511237	0.200638221
5.01	8.303053879	0.183774232
13.5	8.476032934	0.203232681
0.46	8.887467567	0.219231849
4.46	8.803331496	0.217934619
13.54	8.635563666	0.214907749
0	8.106288103	0.21188088
9.72	8.125704119	0.20539473
0.14	8.425013359	0.21231329
0	8.191012538	0.20496232
4.66	8.784671948	0.220529079
19.05	8.532011579	0.269391404
0.88	8.246991182	0.303551791
0.03	8.74230973	0.323875059
0	8.994970099	0.348954837
0	8.868639915	0.358467856
8.62	8.775258122	0.358035446
0.03	8.911002132	0.341171457
9.88	8.989926978	0.319118549
2.37	9.073894945	0.289282262
7.82	8.8034996	0.257716335
0	8.387021846	0.221826309
0	8.091999259	0.192422432
0	8.906043063	0.169504704
0	9.662511234	0.152208305
0	9.797498777	0.135776727
0	9.410018969	0.131020217
